Title,Video URL,Video Duration,Views Number,Date the video uploaded
"NIOH 3 : LE MIE PRIME IMPRESSIONI | PS5 Gameplay ITA《仁王 3：三明初版》 |PS5 游戏玩法 ITA","https://www.youtube.com/watch?v=mXFdTnFsOa4&pp=ygUGbmlvaCAz","38.01","1.5万次观看","2天前"
"[仁王3]開荒最有料最簡單無腦的武器推薦[仁王3]开荒最有料最简单无脑的武器推荐","https://www.youtube.com/watch?v=BtjgvsMXiR4&pp=ygUGbmlvaCAz","6.33","1.3万次观看","1天前"
"Nioh 3 | The Early Reviews Are In..!仁王3 |早期评测出来了......！","https://www.youtube.com/watch?v=QrlGYvG5Js4&pp=ygUGbmlvaCAz","11.02","1.3万次观看","4天前"
"🔴Live - Nioh 3 - Walkthrough Prep Part 3🔴直播 - 仁王3 - 攻略准备 第三部分","https://www.youtube.com/watch?v=GzQbrqwLBcA&pp=ygUGbmlvaCAz","3.02:49","1.5万次观看","直播时间：1天前"
"Nioh 3 | Severing Spin is OP (Katana)! How to Break Human Bosses 仁王3 Skill Guide @PWARGaming​仁王 3 |切割旋律太强了（武士刀）！如何破解人类 Boss 仁王 3 技能指南@PWARGaming","https://www.youtube.com/watch?v=MylZxhSNVRM&pp=ygUGbmlvaCAz","9.04","1.2万次观看","23小时前"
"🔴HIGHGUARD, INDUSTRY CRASH, BIG STREAM (Chat, News, Reacts) | Nioh 3 Demo🔴HIGHGUARD，行业崩盘，大直播（聊天、新闻、反应）|仁王 3 试玩版","https://www.youtube.com/watch?v=h3hrUai7o3Q&pp=ygUGbmlvaCAz","6.51:04","1.3万次观看","直播时间：17小时前"
"Nioh 3 | Demo Content Carries Into Game Release | Part 1仁王3 |试玩版内容将延续至游戏发布 |第一部分","https://www.youtube.com/watch?v=nyrplU6U-WU&pp=ygUGbmlvaCAz","48.06","1.2万次观看","2天前"
"Nioh 3 - Let's Play Part 4: Gaki Chief仁王3 - 让我们一起玩 第四部分：嘎基队长","https://www.youtube.com/watch?v=0D6euNDP4AM&pp=ygUGbmlvaCAz","34.03","1.3万次观看","2天前"
"🔴Live - Nioh 3 - Walkthrough Prep Part 4🔴直播 - 仁王3 - 攻略准备 第四部分","https://www.youtube.com/watch?v=6Qw5NrMJJGY&pp=ygUGbmlvaCAz","2.47:07","1.1万次观看","直播时间：2小时前"
"La nouvelle démo de Nioh 3 m'a convaincu, c'est pas mal du tout ! Mon avis à la fin de la vod.《仁王3》的新试玩版让我信服了，其实一点也不差！我在视频视频结尾的看法。","https://www.youtube.com/watch?v=FBMCc2xtyo4&pp=ygUGbmlvaCAz","3.46:55","1.1万次观看","直播时间：1天前"
"Découverte de NIOH 3 sur PC : C'EST BON je crois que ça clique pour moi !PC 版《仁王 3 的发现》：挺不错的，我觉得它很合我胃口！","https://www.youtube.com/watch?v=CJeubcO1qKo&pp=ygUGbmlvaCAz","1.11:27","1.1万次观看","2天前"
"CHANGE THESE Game Settings in Nioh 3 Immediately立即更改《仁王3》中的这些游戏设置","https://www.youtube.com/watch?v=iv3ZgXBX0Yo&pp=ygUGbmlvaCAz","27.17","1万次观看","1天前"
"NIOH 3 #2 - Esse Jogo É DIFERENTE Do Que Eu Imaginava!仁王3 #2——这款游戏和我想象的完全不同！","https://www.youtube.com/watch?v=JTOsdZ5zJWw&pp=ygUGbmlvaCAz","1.00:06","1万次观看","2天前"
"仁王3太難？一個視頻讓你開荒難度驟降仁王3太难？ 一个视频让你开荒难度骤降","https://www.youtube.com/watch?v=hTvLmi0_CjM&pp=ygUGbmlvaCAz","3.36","1万次观看","2天前"
"Nioh 3 - Let's Play Part 6: Tenryu  River仁王3 - 让我们一起玩 第六部分：天龙川","https://www.youtube.com/watch?v=uP22odK13Cw&pp=ygUGbmlvaCAz","34.04","1万次观看","2天前"
"NIOH 3 - A PRIMEIRA HORA (ACESSO ANTECIPADO)仁王3 - 第一小时（抢先体验）","https://www.youtube.com/watch?v=lNP-cIbgwbU&pp=ygUGbmlvaCAz","1.06:29","9734次观看","3天前"
"🔴 ACESSO ANTECIPADO!!! O INICIO DE NIOH 3, FINALMENTE!!! AO VIVO NO PS5 PRO - PARTE 1🔴 抢先体验！！《仁王 3》的开端，终于！！PS5 PRO 直播 - 第一部分","https://www.youtube.com/watch?v=uXQbDBloHpk&pp=ygUGbmlvaCAz","4.41:01","9598次观看","直播时间：2天前"
"JE SUIS UN NINJA | Nioh 3 (exclu)我是忍者 |仁王3（独家）","https://www.youtube.com/watch?v=tU6DQ66atT4&pp=ygUGbmlvaCAz","3.09:09","1万次观看","1天前"
"NIOH 3 Gameplay First Hours - Part 1《仁王3》游戏体验 第一部分","https://www.youtube.com/watch?v=ost4ccSp62Y&pp=ygUGbmlvaCAz","3.34:54","9757次观看","直播时间：2天前"
"Nioh 3 - HUGE Things to Know Before You SPEND $70!仁王3——花70美元前必须知道的重要事项！","https://www.youtube.com/watch?v=UjRez_FxSbQ&pp=ygUGbmlvaCAz","14.32","8840次观看","4天前"
"Nioh 3 - Let's Play Part 5: Tokaido仁王3 - 实况 第五部分：东海道","https://www.youtube.com/watch?v=DGYOCAUW_vw&pp=ygUGbmlvaCAz","32.45","1万次观看","2天前"
"Nioh 3 Demo! Смотрим демку, разбираемся с новыми фишками.仁王3试玩版！看演示，摸索新功能。","https://www.youtube.com/watch?v=YVLqHBHlhwg&pp=ygUGbmlvaCAz","6.36:39","8664次观看","直播时间：2天前"
"NIOH 3 | RTX 5050, 4060, 3060, 3050, GTX 1650仁王 3 |RTX 5050、4060、3060、3050、GTX 1650","https://www.youtube.com/watch?v=XZV508VrrYM&pp=ygUGbmlvaCAz","24.30","8771次观看","3天前"
"Nioh 3 - Let's Play Part 9: Jakotsu-baba仁王3 - 让我们一起玩 第九部分：蛇骨婆婆","https://www.youtube.com/watch?v=P3JdiXPhjkE&pp=ygUGbmlvaCAz","34.27","8415次观看","1天前"
"Nioh 3 - Bloodedge Demon Boss Fight (No Damage)仁王 3 - 血刃恶魔 Boss 战（无伤害）","https://www.youtube.com/watch?v=vE1O4YOYfmA&pp=ygUGbmlvaCAz","3.14","8374次观看","21小时前"
"Samurai VS Ninja! Comparisons, Strengths & Weaknesses, Which Style Is Best? - Nioh 3 News & Updates武士对忍者！比较、优点与缺点，哪种风格最好？- 仁王3新闻与更新","https://www.youtube.com/watch?v=e_K0qmooeIk&pp=ygUGbmlvaCAz","11.04","8249次观看","5天前"
"416 - PRIMERAS IMPRESIONES NIOH 3, CIFRAS CATASTRÓFICAS DE MICROSOFT, LO DE UBISOFT Y MÁS416 - 《仁王 3》初印象、MICROSOFT 的灾难性数字、育碧的 LO 及更多","https://www.youtube.com/watch?v=X7z_FSTx1d0&pp=ygUGbmlvaCAz","2.22:03","8477次观看","直播时间：2天前"
"BIG Nioh 3 UPDATES - MASSIVE New Gameplay Showcase, TONS of New Gameplay Details + More Nioh 3 News!《仁王3》重大更新——大规模全新游戏展示，大量新游戏细节 + 更多《仁王3》新闻！","https://www.youtube.com/watch?v=6VbBm9ONGwM&pp=ygUGbmlvaCAz0gcJCZEKAYcqIYzv","8.31","7981次观看","5天前"
"10 Important Things You Need To Know About Nioh 3 | Watch Before You Buy你需要知道的关于《仁王3》的10件重要事项 |购买前先看一看","https://www.youtube.com/watch?v=lBy8hQGTweE&pp=ygUGbmlvaCAz","8.40","7993次观看","4天前"
"NIOH 3 Gameplay Español Parte 1 | ES BRUTAL y MUY DIFÍCIL (4K 60FPS)《仁王 3》游戏玩法第一部分 |它残酷且非常难（4K 60FPS）","https://www.youtube.com/watch?v=6hrc4bEh9JQ&pp=ygUGbmlvaCAz","2.24:42","8112次观看","3天前"
"DES BOSS QUI DÉFONCENT | Nioh 3 - LET'S PLAY FR #03DES BOSS QUI DÉFONCENT |仁王 3 - 让我们一起玩 FR #03","https://www.youtube.com/watch?v=QB2hpwKEno0&pp=ygUGbmlvaCAz","59.06","8045次观看","1天前"
"【仁王3 demo】多人模式啟動！穿越時空打妖魔！｜秀康｜Nioh 3【仁王 3 demo】多人模式启动！ 穿越时空打妖魔！ |秀康|Nioh 3","https://www.youtube.com/watch?v=FWFNWaYou7o&pp=ygUGbmlvaCAz","4.57:51","7830次观看","直播时间：2天前"
"Pierwsze Wrażenia z Nioh 3仁王3的第一印象","https://www.youtube.com/watch?v=fNNedRx3_XM&pp=ygUGbmlvaCAz","2.15:06","8987次观看","1天前"
"Nioh 3 - Let's Play Part 10: Hanamatsu Castle仁王3 - 实况实况 第十部分：花松城","https://www.youtube.com/watch?v=FSxeCcfMhMg&pp=ygUGbmlvaCAz","44.50","7372次观看","1天前"
"The FINAL Nioh 3 Demo On PS5 - IS IT GOOD?!?PS5 版《仁王 3》最终试玩版——好玩吗?!?","https://www.youtube.com/watch?v=FexngZVC8fs&pp=ygUGbmlvaCAz","3.05:26","7545次观看","直播时间：2天前"
"Nioh 3 Steam Deck Performance First Look: Is it Playable?《仁王 3》Steam Deck 性能首次亮相：可玩吗？","https://www.youtube.com/watch?v=QIDUEQDhwb0&pp=ygUGbmlvaCAz","15.29","7428次观看","2天前"
"Is Nioh 3 Worth Playing? Here's Everything You Need To Know, Demo Out Soon! - Nioh 3 News & Updates《仁王3》值得玩吗？这里有你需要知道的全部内容，演示即将发布！- 仁王3新闻与更新","https://www.youtube.com/watch?v=9u3Ud6Yse0w&pp=ygUGbmlvaCAz","11.19","6947次观看","3天前"
"NIOH 3 está aqui! Joguei, vi o mundo aberto e digo a vocês...仁王3号来了！我玩过，我看到了开放世界，我告诉你......","https://www.youtube.com/watch?v=LPr6guKIXU4&pp=ygUGbmlvaCAz","20.25","6736次观看","3天前"
"Depth 5 Nightreign Gaming | Nioh 3 Demo AfterDepth5 夜之统游戏 |仁王 3 试玩版后","https://www.youtube.com/watch?v=U4tUnwCwoRQ&pp=ygUGbmlvaCAz","6.06:41","6750次观看","直播时间：21小时前"
"Nioh 3 | Cozy Stream | January 29th仁王3 |温馨的小溪 |1月29日","https://www.youtube.com/watch?v=YGKyYmbeDEE&pp=ygUGbmlvaCAz","2.03:09","7620次观看","直播时间：1天前"
"Dual Katana Ninja IS OP | Early Build Sneak Peak - Nioh 3 Gameplay Tips双刀忍者是 OP |早期构建抢先看——仁王 3 游戏技巧","https://www.youtube.com/watch?v=wuHt-X1XxkQ&pp=ygUGbmlvaCAz","10.02","6526次观看","1天前"
"Nioh 3 Demo Breakdown, Exclusive Rewards, All Available Gameplay Explained - Nioh 3 News & Updates仁王3试玩解析、独家奖励、所有可用游戏内容解析——仁王3新闻与更新","https://www.youtube.com/watch?v=WFRfESqOjC0&pp=ygUGbmlvaCAz","9.21","6520次观看","1天前"
"Nioh 3 - Let's Play Part 7: Hamamatsu仁王3 - 让我们一起玩 第七部分：滨松","https://www.youtube.com/watch?v=Uz9AGEF_wBo&pp=ygUGbmlvaCAz","30.37","7270次观看","1天前"
"NIOH 3 Gameplay [Full Game] - The Adventure Continues...《仁王3》游戏玩法【完整版】——冒险继续......","https://www.youtube.com/watch?v=R5fwJTnjato&pp=ygUGbmlvaCAz","4.40:31","6342次观看","直播时间：1天前"
"NIOH 3 Gameplay - Exploring Open World & Hamamatsu Crucible仁王3玩法——探索开放世界与滨松熔炉","https://www.youtube.com/watch?v=xnS2detQ64I&pp=ygUGbmlvaCAz0gcJCZEKAYcqIYzv","4.19:51","6406次观看","直播时间：2天前"
"Team Ninja ARRUINÓ Nioh 3 con Esta Decisión忍者队用这个决定毁了《仁王3》","https://www.youtube.com/watch?v=bOGh5kygcSk&pp=ygUGbmlvaCAz0gcJCZEKAYcqIYzv","15.31","6674次观看","8小时前"
"LE VRAI JEU COMMENCE | Nioh 3 - LET'S PLAY FR #05真正的游戏开始了 |仁王3 - 英国版 #05","https://www.youtube.com/watch?v=84L42aZcnnA&pp=ygUGbmlvaCAz","1.00:14","6047次观看","17小时前"
"Thank You Team Ninja | Nioh 3谢谢忍者队|仁王3","https://www.youtube.com/watch?v=IdEYkMp742E&pp=ygUGbmlvaCAz","0.34","1万次观看","1天前"
"Powerful Early or Uninstall! - Nioh 3强力提前或卸载！- 仁王3","https://www.youtube.com/watch?v=TC2i6j3C6oY&pp=ygUGbmlvaCAz","3.26:53","6380次观看","直播时间：1天前"
"The Ending Demo Boss | Nioh 3 Gameplay #2结局演示 Boss |仁王 3 游戏玩法#2","https://www.youtube.com/watch?v=OJxcliPHr-Q&pp=ygUGbmlvaCAz","1.42:46","1万次观看","13小时前"
"Nioh 3 | RTX 5050, 5060, 5060 Ti, 5070, 5080, 5090仁王 3 |RTX 5050、5060、5060 Ti、5070、5080、5090","https://www.youtube.com/watch?v=qTe_gXfUNe0&pp=ygUGbmlvaCAz","18.01","6206次观看","2天前"
"Nioh 3 Early Sneak Peek ?!仁王3抢先看？！","https://www.youtube.com/watch?v=Dbb9F5r16gs&pp=ygUGbmlvaCAz","3.31:57","5705次观看","直播时间：1天前"
"how flux 1 and flux 2 work in nioh 3 in less than 4 min《仁王 3》中 Flux 1 和 Flux 2 在不到 4 分钟内的工作原理","https://www.youtube.com/watch?v=kWEudbn62ss&pp=ygUGbmlvaCAz","3.53","5830次观看","2天前"
"WOW! Das ist EXTREM gut! - NIOH 3 Gameplay Deutsch Part 1哇！这非常棒！- NIOH 3 游戏玩法 德语 第一部分","https://www.youtube.com/watch?v=aqy792WDt98&pp=ygUGbmlvaCAz","3.20:28","6060次观看","1天前"
"Nioh 3 – Takeda Shingen, Tiger of Kai Boss Fight (NO DAMAGE)仁王 3 – 武田信玄，界王虎 Boss 战（无伤害）","https://www.youtube.com/watch?v=m7umYO6gbQo&pp=ygUGbmlvaCAz","6.41","5563次观看","3天前"
"NIOH 3 DEMO WITH FULL PROGRESS TRANSFER!《仁王3》试玩版，附带完整进度转移！","https://www.youtube.com/watch?v=jFnMKTx2Zrk&pp=ygUGbmlvaCAz","9.07:05","5922次观看","直播时间：2天前"
"NIOH 3 DEMO | First Impressions仁王3演示 |第一印象","https://www.youtube.com/watch?v=y7_M9_r_d7g&pp=ygUGbmlvaCAz","5.53:56","5582次观看","直播时间：2天前"
"Zagrajmy w Nioh 3 - POCZĄTEK GRY i BOSS [#01]《仁王 3》- 游戏开始与 BOSS [#01]","https://www.youtube.com/watch?v=NoFip6ewLXU&pp=ygUGbmlvaCAz","1.19:53","6001次观看","2天前"
"Nioh 3 Early Access Samurai Ninja Warrior Live With Wolf! Part 3《仁王3》抢先体验版 武士忍者无双 与狼同在！第三部分","https://www.youtube.com/watch?v=gN1aHphmjtM&pp=ygUGbmlvaCAz","9.18:31","5118次观看","直播时间：13小时前"
"【ゲーム】仁王3 体験版 やはり面白い！体験版の感じでは仁王2以上の完成度かも・・【游戏】仁王3试玩版 果然很有趣！ 从试玩版的感觉来看，它可能比《仁王2》更完整......","https://www.youtube.com/watch?v=2hM8o1WnOO8&pp=ygUGbmlvaCAz","6.34","5271次观看","1天前"
"Nioh 3 Demo (PS5) | Part 1 of 2仁王 3 试玩版（PS5） |第一部分，共二部分","https://www.youtube.com/watch?v=epyxtuwJ1qg&pp=ygUGbmlvaCAz","3.35:13","5560次观看","直播时间：2天前"
"Playing Through The First Hour Of NIOH 3!正在通关《仁王3》的第一个小时！","https://www.youtube.com/watch?v=OA8V40Gk8CE&pp=ygUGbmlvaCAz","1.01:33","4898次观看","3天前"
"The FINAL Nioh 3 Demo On PS5 Is HUGE But IS IT GOOD?!? (Part 2)PS5 上的《仁王 3》最终试玩版规模巨大，但它真的好玩吗?!?（第二部分）","https://www.youtube.com/watch?v=bYCiVIL9twk&pp=ygUGbmlvaCAz","3.38:00","5254次观看","直播时间：1天前"
"仁王3：開放世界點解係豪賭？雙職業令刷裝體驗完全唔同晒？｜Nioh 3｜香港人遊戲雜談仁王 3：开放世界点解系豪赌？ 双职业令刷装体验完全唔同晒？ |Nioh 3|香港人游戏杂谈","https://www.youtube.com/watch?v=vyGuCMVQrac&pp=ygUGbmlvaCAz","10.38","4821次观看","5天前"
"Nioh 3 - ALL WEAPONS - Samurai & Ninja Gameplay 4K仁王 3 - 所有武器 - 武士与忍者玩法 4K","https://www.youtube.com/watch?v=IjXSKHkJFXM&pp=ygUGbmlvaCAz0gcJCZEKAYcqIYzv","12.57","4791次观看","1天前"
"Nioh 3 | أول تجربة 🔥 هل تنافس الدرينغ ؟ + 😳!仁王 3 |第一次体验🔥时，你是和 DRING 竞争吗？+ 😳!","https://www.youtube.com/watch?v=MB18KK28UE4&pp=ygUGbmlvaCAz0gcJCZEKAYcqIYzv","56.13","4660次观看","2天前"
"NIOH 3 - GUIA BÁSICO - AS MELHORES DICAS PRA FACILITAR SUA JORNADANIOH 3 - 基础指南 - 让你的旅程更轻松的最佳建议","https://www.youtube.com/watch?v=3j6sjAZPIqY&pp=ygUGbmlvaCAz","10.14","4972次观看","2天前"
"Nioh 3 Gameplay Part 1 In 4K HD - 37 Minutes Of Gameplay《仁王 3》游戏体验第一部分 4K 高清 - 37 分钟游戏时长","https://www.youtube.com/watch?v=5CQFkkaAPXg&pp=ygUGbmlvaCAz","37.12","4614次观看","3天前"
"NIOH 3 - Part 2仁王3 - 第二部分","https://www.youtube.com/watch?v=BkrJhq_Mk08&pp=ygUGbmlvaCAz","4.54:36","4735次观看","直播时间：2天前"
"NIOH 3 DEMO JE TU!仁王3的试玩版来了！","https://www.youtube.com/watch?v=IXrIlMocPUc&pp=ygUGbmlvaCAz","2.19:54","5216次观看","1天前"
"Смотрим Nioh 3 и Cairn正在观看《仁王3》和《凯恩》","https://www.youtube.com/watch?v=IZBGSA3INEg&pp=ygUGbmlvaCAz","6.05:02","4794次观看","1天前"
"Nioh 3 Might Be My Favorite Soulslike | Live Gameplay仁王3可能是我最喜欢的魂系游戏 |实时游戏","https://www.youtube.com/watch?v=ovvRANGjVIg&pp=ygUGbmlvaCAz","1.35:07","6978次观看","1天前"
"Nioh 3 Gameplay Review: A Masterpiece of Ninja Gameplay [UCG]仁王 3 游戏评测：忍者游戏的杰作 [UCG]","https://www.youtube.com/watch?v=BhN2OTu9QkQ&pp=ygUGbmlvaCAz","14.39","4208次观看","2天前"
